month,period,open_at_end,created,closed,net,unique_creators,member_created,community_created,bot_created,old_closed_365d
2021-06-01,growth,3112,215,183,32,121,117,98,0,10
2021-07-01,growth,3103,303,312,-9,159,178,125,0,110
2021-08-01,growth,3191,275,187,88,139,174,101,0,31
2021-09-01,growth,3329,361,223,138,150,245,106,10,34
2021-10-01,growth,3432,336,233,103,148,204,104,28,24
2021-11-01,growth,3580,392,244,148,161,254,121,17,22
2021-12-01,growth,3647,273,206,67,137,167,97,9,17
2022-01-01,growth,3757,314,204,110,187,178,133,3,27
2022-02-01,growth,3862,328,223,105,173,166,150,12,22
2022-03-01,growth,4042,324,144,180,174,157,140,27,24
2022-04-01,growth,4171,316,187,129,167,168,130,18,27
2022-05-01,growth,4221,318,268,50,153,173,138,7,83
2022-06-01,growth,4303,213,131,82,127,101,96,16,19
2022-07-01,growth,4396,306,213,93,132,209,83,14,64
2022-08-01,growth,4356,293,333,-40,142,167,108,18,108
2022-09-01,growth,4304,300,352,-52,147,175,114,11,84
2022-10-01,growth,4381,265,188,77,139,157,98,10,33
2022-11-01,growth,4467,302,216,86,174,164,133,5,37
2022-12-01,growth,4530,205,142,63,128,106,93,6,18
2023-01-01,growth,4655,302,177,125,118,188,86,28,20
2023-02-01,growth,4863,448,240,208,151,219,127,102,44
2023-03-01,growth,4932,422,353,69,173,200,153,69,102
2023-04-01,growth,5032,278,178,100,123,163,107,8,61
2023-05-01,growth,5104,382,310,72,153,254,118,10,78
2023-06-01,growth,5233,469,340,129,151,345,114,10,76
2023-07-01,growth,5289,413,357,56,145,272,126,15,61
2023-08-01,growth,5180,341,450,-109,171,185,151,5,223
2023-09-01,growth,5214,314,280,34,137,203,106,5,71
2023-10-01,growth,5300,322,236,86,126,235,82,5,49
2023-11-01,growth,5511,377,166,211,155,266,108,3,17
2023-12-01,growth,5458,193,246,-53,101,113,75,5,92
2024-01-01,growth,5575,323,206,117,128,216,88,19,24
2024-02-01,growth,5641,317,251,66,129,219,83,15,33
2024-03-01,growth,5640,319,320,-1,144,194,121,4,129
2024-04-01,plateau,5728,310,222,88,161,182,124,4,60
2024-05-01,plateau,5817,285,196,89,134,179,99,7,16
2024-06-01,plateau,5887,269,199,70,142,159,104,6,28
2024-07-01,plateau,5965,456,378,78,166,334,118,4,91
2024-08-01,plateau,6067,284,182,102,160,170,110,4,32
2024-09-01,plateau,6171,291,187,104,131,195,93,3,50
2024-10-01,plateau,6179,302,294,8,141,197,102,3,110
2024-11-01,plateau,6115,242,306,-64,127,144,98,0,94
2024-12-01,plateau,6114,262,263,-1,113,176,84,2,91
2025-01-01,plateau,6147,162,129,33,81,89,70,3,30
2025-02-01,plateau,6164,139,122,17,73,68,69,2,21
2025-03-01,plateau,6140,141,165,-24,81,71,68,2,53
2025-04-01,decline,6070,98,168,-70,68,29,68,1,71
2025-05-01,decline,5972,81,179,-98,59,38,43,0,103
2025-06-01,decline,5978,92,86,6,64,40,52,0,30
2025-07-01,decline,5888,117,207,-90,71,75,42,0,116
2025-08-01,decline,5886,115,117,-2,73,60,49,6,60
2025-09-01,decline,5947,213,152,61,89,139,71,3,40
2025-10-01,decline,5939,282,290,-8,121,182,93,7,107
2025-11-01,decline,5846,280,373,-93,114,203,75,2,187
2025-12-01,decline,5648,177,375,-198,93,102,74,1,245
2026-01-01,decline,5649,191,190,1,83,146,40,5,59
2026-02-01,decline,5677,234,206,28,106,155,70,9,48
2026-03-01,decline,5726,256,207,49,118,160,87,9,33
2026-04-01,decline,5707,204,223,-19,101,118,68,18,88
2026-05-01,decline,5694,154,167,-13,100,58,77,19,43
2026-06-01,decline,5570,68,192,-124,50,34,25,9,145
