quarter,period,open_at_end,created,closed,net_created_minus_closed,unique_creators,first_time_creators,member_created,community_created,bot_created,milestone_created,assigned_created,comments_created_avg,median_age_days_closed,old_closed_365d,closed_reason_completed,closed_reason_not_planned,closed_reason_unknown,created_bug,created_enhancement,created_task,created_needs_triage,created_experiment,closed_bug,closed_enhancement,closed_task,closed_needs_triage,closed_experiment
2021-04-01,growth,3112,215,183,32,121,24,117,98,0,7,80,4.05,14,10,183,0,0,80,138,2,25,0,76,115,0,25,1
2021-07-01,growth,3329,939,722,217,336,127,597,332,10,18,312,4.37,61,175,722,0,0,244,505,16,83,3,228,354,10,60,0
2021-10-01,growth,3647,1001,683,318,322,114,625,322,54,7,335,4.5,13,63,683,0,0,330,500,19,92,1,234,323,18,51,3
2022-01-01,growth,4042,966,571,395,407,163,501,423,42,2,242,5.35,26,73,570,1,0,286,474,12,100,1,189,238,9,46,1
2022-04-01,growth,4303,847,586,261,359,152,442,364,41,0,230,4.71,35,129,561,25,0,255,436,8,66,6,181,240,14,52,2
2022-07-01,growth,4304,899,898,1,313,118,551,305,43,2,317,4.77,135,256,751,147,0,288,445,15,60,3,348,326,8,101,2
2022-10-01,growth,4530,772,546,226,343,130,427,324,21,2,219,4.05,19,88,502,44,0,251,382,7,71,4,179,226,7,47,1
2023-01-01,growth,4932,1172,770,402,336,125,607,366,199,2,308,4.31,27,166,699,71,0,378,609,8,104,7,284,355,8,51,6
2023-04-01,growth,5233,1129,828,301,335,122,762,339,28,0,398,4.37,53,215,766,62,0,432,656,34,123,6,262,432,6,73,5
2023-07-01,growth,5214,1068,1087,-19,321,106,660,383,25,1,329,4.71,56,355,861,226,0,443,654,38,109,5,432,596,22,106,2
2023-10-01,growth,5458,892,648,244,293,79,614,265,13,0,285,4.09,57,158,553,95,0,399,544,10,104,7,265,293,16,56,2
2024-01-01,growth,5640,959,777,182,298,98,629,292,38,0,295,4.47,38,186,680,97,0,494,587,4,80,8,364,417,24,53,2
2024-04-01,plateau,5887,864,617,247,334,114,520,327,17,0,253,4.48,21,104,552,65,0,455,510,7,72,2,312,354,5,54,0
2024-07-01,plateau,6171,1031,747,284,347,115,699,321,11,1,326,4.23,27,173,628,119,0,524,643,16,111,1,389,480,12,50,1
2024-10-01,plateau,6114,806,863,-57,279,102,517,284,5,5,281,4.57,80,295,726,134,0,407,462,6,65,4,426,511,13,89,4
2025-01-01,plateau,6140,442,416,26,193,58,228,207,7,0,167,4.21,35,104,307,56,0,261,237,2,20,2,231,214,3,19,4
2025-04-01,decline,5978,271,433,-162,164,62,107,163,1,0,77,4.06,289,204,288,90,0,144,159,0,17,5,171,278,7,40,6
2025-07-01,decline,5947,445,476,-31,186,52,274,162,9,0,146,3.91,267,216,306,126,0,199,286,4,30,1,224,300,8,22,4
2025-10-01,decline,5648,739,1038,-299,243,75,487,242,10,0,287,4.19,397,539,801,184,0,337,496,10,34,8,424,668,25,96,5
2026-01-01,decline,5726,681,603,78,220,61,461,197,23,1,329,3.4,24,140,516,66,0,270,454,17,30,12,248,412,14,35,8
2026-04-01,decline,5570,426,582,-156,199,59,210,170,46,1,168,2.53,180,276,361,191,0,169,209,8,19,6,266,290,8,24,6
