workload,concurrency,cell,flows_per_s,avg_flow_ms,p95_flow_ms,p99_flow_ms,avg_request_ms,successful_writes_per_s,failed_flows,verify_failures,mysql_lock_waits,tmp_disk_tables,slow_queries,php_warning,php_fatal,cpu_core_seconds_per_1k_flows
catalog-read,4,catalog-read / 4 concurrent,46.14840887950286,86.62554290628863,125.48145800246857,166.03643320559047,86.58489119362198,0.0,0,0,0,0,1,0,0,76.483829
catalog-read,16,catalog-read / 16 concurrent,44.78858392270777,356.6170527061813,674.209512199741,785.7983077672543,356.57661641687014,0.0,0,0,0,0,0,0,0,79.997868
catalog-read,32,catalog-read / 32 concurrent,43.70704283557904,729.0203114853138,1364.7519186546558,1566.1957426420124,728.9764504072199,0.0,0,0,0,0,13,0,0,81.734433
storefront-mixed,4,storefront-mixed / 4 concurrent,24.401956209997724,163.72035194825995,300.22889825195307,382.861016014067,72.03420262122674,6.189223438717605,0,0,10,0,0,0,0,132.380164
storefront-mixed,16,storefront-mixed / 16 concurrent,23.654715537350828,674.6299013171638,1278.096008145076,1588.7709472546699,310.3491602680335,5.450293598624677,0,0,8,0,3,0,0,140.713228
storefront-mixed,32,storefront-mixed / 32 concurrent,22.614549055405256,1401.4497830948512,2766.90049950048,3237.520421051886,621.403465085079,5.9592392781135475,0,0,17,0,33,0,0,146.291083
admin-orders,4,admin-orders / 4 concurrent,0.8281885490629517,190.97157407452835,427.83791710608057,600.6159755194674,102.8709435858117,0.2300523747397088,8,0,1,0,16,0,0,1063.216386
admin-orders,16,admin-orders / 16 concurrent,1.8231994603065018,398.6968518607891,1644.5365128514827,1994.479598112085,215.53396577220545,0.5081047676264022,32,0,0,0,92,0,0,1610.745614
admin-orders,32,admin-orders / 32 concurrent,3.3954152240618636,981.1263919205718,3064.229146002617,3531.35170799942,604.0566463985352,0.7034326360606251,58,0,2,0,400,0,14,1012.694658
checkout-heavy,4,checkout-heavy / 4 concurrent,2.367058850512766,629.9643281434,482.6780419971328,10978.212658796258,176.33636103171483,1.7495652373355226,4,0,2,0,12,0,0,421.693053
checkout-heavy,16,checkout-heavy / 16 concurrent,6.173824520289277,752.0975913357371,1532.212949696987,1916.8391762851388,206.97699030205234,4.438697367528238,18,0,18,0,53,0,0,459.724362
checkout-heavy,32,checkout-heavy / 32 concurrent,9.128540591172118,2190.2478427901756,3643.045023152081,4108.200139774274,618.6973675834807,6.267835969290714,9,0,91,0,348,0,0,291.615207
