digest,count,total_s,rows_examined,rows_sent,tmp_disk,no_index,max_ms,label
"SELECT `wp_wc_orders` . `id` FROM `wp_wc_orders` WHERE ? = ? AND ( `wp_wc_orders` . `status` IN (...) ) AND ( `wp_wc_orders` . `type` = ? ) AND ( ( `wp_wc_orders` . `transaction_id` LIKE ? OR `wp_wc_orders` . `billing_email` LIKE ? OR `wp_wc_orders` . `id` IN ( SELECT `search_query_meta` . `order_id` FROM `wp_wc_orders_meta` AS `search_query_meta` WHERE `search_query_meta` . `meta_key` IN (...) AND `search_query_meta` . `meta_value` LIKE ? GROUP BY `search_query_meta` . `order_id` ) OR `wp_wc_orders` . `id` IN ( SELECT `order_id` FROM `wp_woocommerce_order_items` `search_query_items` WHERE `search_query_items` . `order_item_name` LIKE ? ) ) ) GROUP BY `wp_wc_orders` . `id` ORDER BY `wp_wc_orders` . `date_created_gmt` DESC LIMIT ?, ...",135,7239.3006,13660367,135,0,0,71258.955,HPOS order search ids
SELECT COUNT ( * ) FROM `wp_wc_orders` WHERE ? = ? AND ( `wp_wc_orders` . `status` IN (...) ) AND ( `wp_wc_orders` . `type` = ? ) AND ( ( `wp_wc_orders` . `transaction_id` LIKE ? OR `wp_wc_orders` . `billing_email` LIKE ? OR `wp_wc_orders` . `id` IN ( SELECT `search_query_meta` . `order_id` FROM `wp_wc_orders_meta` AS `search_query_meta` WHERE `search_query_meta` . `meta_key` IN (...) AND `search_query_meta` . `meta_value` LIKE ? GROUP BY `search_query_meta` . `order_id` ) OR `wp_wc_orders` . `id` IN ( SELECT `order_id` FROM `wp_woocommerce_order_items` `search_query_items` WHERE `search_query_items` . `order_item_name` LIKE ? ) ) ),88,48.2987,8910945,88,0,88,2246.508,HPOS order search count
"SELECT `status` , COUNT ( * ) AS `count` FROM `wp_wc_orders` WHERE `type` = ? GROUP BY `status`",492,48.075700000000005,49808309,1086,0,0,830.956,Order status counts
SELECT `option_value` FROM `wp_options` WHERE `option_name` = ? LIMIT ?,607959,34.4648,177038,177038,0,0,314.076,Options point lookup
"SELECT SQL_CALC_FOUND_ROWS `wp_posts` . `ID` FROM `wp_posts` WHERE ? = ? AND ( `wp_posts` . `ID` NOT IN ( SELECT `object_id` FROM `wp_term_relationships` WHERE `term_taxonomy_id` IN (...) ) ) AND ( ( ( `wp_posts` . `post_title` LIKE ? ) OR ( `wp_posts` . `post_excerpt` LIKE ? ) OR ( `wp_posts` . `post_content` LIKE ? ) ) AND ( ( `wp_posts` . `post_title` LIKE ? ) OR ( `wp_posts` . `post_excerpt` LIKE ? ) OR ( `wp_posts` . `post_content` LIKE ? ) ) AND ( ( `wp_posts` . `post_title` LIKE ? ) OR ( `wp_posts` . `post_excerpt` LIKE ? ) OR ( `wp_posts` . `post_content` LIKE ? ) ) ) AND ( `wp_posts` . `post_password` = ? ) AND ( ( `wp_posts` . `post_type` = ? AND ( `wp_posts` . `post_status` = ? ) ) ) GROUP BY `wp_posts` . `ID` ORDER BY ( CASE WHEN `wp_posts` . `post_title` LIKE ? THEN ? WHEN `wp_posts` . `post_title` LIKE ? AND `wp_posts` . `post_title` LIKE ? AND `wp_posts` . `post_title` LIKE ? THEN ? WHEN `wp_posts` . `post_title` LIKE ? OR `wp_posts` . `post_title` LIKE ? OR `wp_posts` . `post_title` LIKE ? THEN ? WHEN `wp_posts` . `post_excerpt` LIKE ? THEN ? WHEN `wp_posts` . `post_content` LIKE ? THEN ? ELSE ? END ) , `wp_posts` .",3466,28.379300000000004,5657851,55456,0,0,299.93,Product search query
"SELECT `option_name` , `option_value` FROM `wp_options` WHERE `option_name` IN (...)",203941,19.012099999999997,226418,226414,0,0,310.128,"SELECT `option_name` , `option_value` FROM `wp_options` WHERE `option_name` IN ("
"SELECT `option_name` , `option_value` FROM `wp_options` WHERE `autoload` IN (...)",19760,12.927,6434641,5644418,0,1759,207.886,"SELECT `option_name` , `option_value` FROM `wp_options` WHERE `autoload` IN (..."
"SELECT `id` , `order_id` AS `object_id` , `meta_key` , `meta_value` FROM `wp_wc_orders_meta` WHERE `order_id` IN (...)",30137,11.8424,166964,166968,0,0,309.482,Load HPOS order meta
"SELECT SQL_CALC_FOUND_ROWS `wp_posts` . `ID` FROM `wp_posts` WHERE ? = ? AND ( `wp_posts` . `ID` NOT IN ( SELECT `object_id` FROM `wp_term_relationships` WHERE `term_taxonomy_id` IN (...) ) ) AND ( ( `wp_posts` . `post_type` = ? AND ( `wp_posts` . `post_status` = ? ) ) ) GROUP BY `wp_posts` . `ID` ORDER BY `wp_posts` . `menu_order` ASC , `wp_posts` . `post_title` ASC LIMIT ?, ...",1464,11.5598,4392000,23424,0,0,60.013,Product search query
"SELECT `post_id` , `meta_key` , `meta_value` FROM `wp_postmeta` WHERE `post_id` IN (...) ORDER BY `meta_id` ASC",56317,10.5001,5759134,3081634,0,0,313.998,Load post meta
"INSERT INTO `wp_woocommerce_sessions` ( `session_key` , `session_value` , `session_expiry` ) VALUES (...) ON DUPLICATE KEY UPDATE `session_value` = VALUES ( `session_value` ) , `session_expiry` = VALUES ( `session_expiry` )",8983,10.0939,0,0,0,0,245.818,Woo session write/read
"SELECT `o` . `id` AS `o_id` , `p` . `id` AS `p_id` , `o` . * , `b` . `id` AS `b_id` , `b` . `order_id` AS `b_order_id` , `b` . `address_type` AS `b_address_type` , `b` . `first_name` AS `billing_first_name` , `b` . `last_name` AS `billing_last_name` , `b` . `company` AS `billing_company` , `b` . `address_1` AS `billing_address_1` , `b` . `address_2` AS `billing_address_2` , `b` . `city` AS `billing_city` , `b` . `state` AS `billing_state` , `b` . `postcode` AS `billing_postcode` , `b` . `country` AS `billing_country` , `b` . `email` AS `billing_email` , `b` . `phone` AS `billing_phone` , `s` . `id` AS `s_id` , `s` . `order_id` AS `s_order_id` , `s` . `address_type` AS `s_address_type` , `s` . `first_name` AS `shipping_first_name` , `s` . `last_name` AS `shipping_last_name` , `s` . `company` AS `shipping_company` , `s` . `address_1` AS `shipping_address_1` , `s` . `address_2` AS `shipping_address_2` , `s` . `city` AS `shipping_city` , `s` . `state` AS",30139,9.209600000000002,45807,34491,0,0,257.291,"SELECT `o` . `id` AS `o_id` , `p` . `id` AS `p_id` , `o` . * , `b` . `id` AS `b_"
SELECT * FROM `wp_posts` WHERE `ID` = ? LIMIT ?,87641,6.784800000000001,82467,82467,0,0,224.41,SELECT * FROM `wp_posts` WHERE `ID` = ? LIMIT ?
"UPDATE `wp_options` SET `option_value` = ? , `autoload` = ? WHERE `option_name` = ?",1739,6.6116,1739,0,0,0,108.826,"UPDATE `wp_options` SET `option_value` = ? , `autoload` = ? WHERE `option_name` "
"INSERT INTO `wp_wc_orders_meta` ( `order_id` , `meta_key` , `meta_value` ) VALUES (...)",10562,6.034800000000001,0,0,0,0,217.043,"INSERT INTO `wp_wc_orders_meta` ( `order_id` , `meta_key` , `meta_value` ) VALUE"
"SELECT `p` . `ID` FROM `wp_posts` `p` WHERE `post_type` = ? AND `p` . `post_title` = ? AND `p` . `post_status` IN (...) ORDER BY `p` . `post_date_gmt` ASC LIMIT ?, ...",61878,5.8077000000000005,0,0,0,0,109.429,SELECT `p` . `ID` FROM `wp_posts` `p` WHERE `post_type` = ? AND `p` . `post_titl
"INSERT INTO `wp_wc_orders` ( `date_updated_gmt` , `id` , `type` ) VALUES (...) ON DUPLICATE KEY UPDATE `date_updated_gmt` = VALUES ( `date_updated_gmt` ) , `id` = VALUES ( `id` ) , `type` = VALUES ( `type` )",11933,5.052899999999999,0,0,0,0,339.335,"INSERT INTO `wp_wc_orders` ( `date_updated_gmt` , `id` , `type` ) VALUES (...) O"
"INSERT INTO `wp_woocommerce_order_itemmeta` ( `order_item_id` , `meta_key` , `meta_value` ) VALUES (...)",15651,4.6690000000000005,0,0,0,0,249.027,"INSERT INTO `wp_woocommerce_order_itemmeta` ( `order_item_id` , `meta_key` , `me"
"SELECT `order_item_id` , `meta_key` , `meta_value` FROM `wp_woocommerce_order_itemmeta` WHERE `order_item_id` IN (...) ORDER BY `meta_id` ASC",31747,4.2912,278426,241704,0,0,133.358,"SELECT `order_item_id` , `meta_key` , `meta_value` FROM `wp_woocommerce_order_it"
SELECT `t` . `term_id` FROM `wp_terms` AS `t` INNER JOIN `wp_term_taxonomy` AS `tt` ON `t` . `term_id` = `tt` . `term_id` WHERE `tt` . `taxonomy` IN (...) AND `t` . `name` IN (...) LIMIT ?,50979,4.012099999999999,0,0,0,0,125.304,SELECT `t` . `term_id` FROM `wp_terms` AS `t` INNER JOIN `wp_term_taxonomy` AS `
"SELECT DISTINCTROW `t` . `term_id` , `tr` . `object_id` FROM `wp_terms` AS `t` INNER JOIN `wp_term_taxonomy` AS `tt` ON `t` . `term_id` = `tt` . `term_id` INNER JOIN `wp_term_relationships` AS `tr` ON `tr` . `term_taxonomy_id` = `tt` . `term_taxonomy_id` WHERE `tt` . `taxonomy` IN (...) AND `tr` . `object_id` IN (...) ORDER BY `t` . `name` ASC",19234,3.7135,429056,107264,0,0,204.809,"SELECT DISTINCTROW `t` . `term_id` , `tr` . `object_id` FROM `wp_terms` AS `t` I"
UPDATE `wp_options` SET `option_value` = ? WHERE `option_name` = ?,8303,3.4087,8303,0,0,0,253.712,UPDATE `wp_options` SET `option_value` = ? WHERE `option_name` = ?
"SELECT `wp_posts` . `ID` FROM `wp_posts` WHERE ? = ? AND `wp_posts` . `post_name` IN (...) AND ( ? = ? ) AND `wp_posts` . `post_type` = ? AND ( ( `wp_posts` . `post_status` = ? ) ) GROUP BY `wp_posts` . `ID` ORDER BY `wp_posts` . `post_date` DESC LIMIT ?, ...",55701,3.3668000000000005,0,0,0,0,253.301,SELECT `wp_posts` . `ID` FROM `wp_posts` WHERE ? = ? AND `wp_posts` . `post_name
DELETE FROM `wp_wc_orders_meta` WHERE `id` = ? AND `order_id` = ?,2919,3.1357999999999997,2919,0,0,0,208.976,DELETE FROM `wp_wc_orders_meta` WHERE `id` = ? AND `order_id` = ?
"INSERT INTO `wp_wc_order_operational_data` ( `new_order_email_sent` , `order_id` ) VALUES (...) ON DUPLICATE KEY UPDATE `new_order_email_sent` = VALUES ( `new_order_email_sent` ) , `order_id` = VALUES ( `order_id` )",1274,2.9061,0,0,0,0,146.719,"INSERT INTO `wp_wc_order_operational_data` ( `new_order_email_sent` , `order_id`"
