table,total_s
wp_wc_orders,7369.543999999999
wp_wc_orders_meta,6750.3989
wp_woocommerce_order_items,297.72720000000004
wp_options,34.384100000000004
wp_posts,13.4728
wp_wc_order_operational_data,7.8533
wp_woocommerce_sessions,6.4936
wp_postmeta,5.8283000000000005
wp_woocommerce_order_itemmeta,5.122599999999999
wp_wc_order_addresses,2.6201
wp_term_relationships,0.9812
wp_usermeta,0.6456999999999999
wp_actionscheduler_actions,0.6273
wp_terms,0.5534
wp_comments,0.5474
wp_term_taxonomy,0.5376
wp_wc_order_stats,0.3608
wp_wc_tax_rate_classes,0.26770000000000005
wp_users,0.254
wp_wc_admin_notes,0.2204
