date,technology,segment,technology_note,color,desktop_origins,mobile_origins,total_origins,geo,rank,source,source_url,collected_at
2020-01-01,ALL,All origins,All HTTP Archive crawl origins,#0f172a,2976169,3402638,6378807,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Gatsby,Static/app framework,React static site generator,#663399,2636,2215,4851,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,GitHub Pages,Deployment surface,Static hosting platform,#6e7781,8059,3986,12045,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Hugo,Static/app framework,Static site generator,#ff4088,1907,1348,3255,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Jekyll,Static/app framework,Static site generator,#cc0000,1382,830,2212,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Netlify,Deployment surface,Static/app deployment platform,#00ad9f,4367,3409,7776,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Next.js,Static/app framework,React app framework and static/hybrid generator,#111827,4084,4178,8262,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Nuxt.js,Static/app framework,Vue app framework and static/hybrid generator,#00dc82,3641,3593,7234,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Shopify,CMS/ecommerce/builder,Hosted ecommerce,#16a34a,56562,60749,117311,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Squarespace,CMS/ecommerce/builder,Hosted website builder,#64748b,27079,26198,53277,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Tilda,CMS/ecommerce/builder,Hosted website builder,#a855f7,1509,2074,3583,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Webflow,CMS/ecommerce/builder,Visual website builder/CMS,#0891b2,5370,5192,10562,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,Wix,CMS/ecommerce/builder,Hosted website builder,#f59e0b,17398,27226,44624,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-01-01,WordPress,CMS/ecommerce/builder,Open-source CMS,#2563eb,890004,1036502,1926506,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-02-01,ALL,All origins,All HTTP Archive crawl origins,#0f172a,3343928,4045661,7389589,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
2020-02-01,Duda,CMS/ecommerce/builder,Hosted website builder,#dc2626,0,101,101,ALL,ALL,HTTP Archive Technology Report API adoption endpoint,https://cdn.httparchive.org/v1/adoption?technology=ALL%2CWordPress%2CShopify%2CWix%2CSquarespace%2CWebflow%2CDuda%2CTilda%2CNext.js%2CNuxt.js%2CAstro%2CGatsby%2CHugo%2CJekyll%2CEleventy%2CVercel%2CNetlify%2CGitHub+Pages%2CFramer+Sites%2CLovable%2CBase44&geo=ALL&rank=ALL&start=2020-01-01&end=2026-05-01,2026-06-15T22:17:28.655795Z
