quarter,label,snapshot_date,archive_timestamp,view,queue,view_label,pages_discovered,topics_on_first_page,estimated_total_topics,first_page_replies,first_page_participants,first_page_no_reply_topics,first_page_resolved_badges,first_page_forums,first_page_starters,latest_activity_at,oldest_activity_at,archive_original_url,archive_digest,source,source_url,source_note,collected_at
2018-01-01,2018-Q1,2018-01-01,20180101041236,all_topics,all,Recent support topics,50584,15,758760,25,28,2,5,3,14,,,https://wordpress.org/support/view/all-topics/,IR7NPB7BYXXIRPYBWKFV2NVE57YGJHKA,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180101041236id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-01-01,2018-Q1,2018-01-01,20180101041248,no_replies,no_replies,Topics with no replies,1,12,12,0,12,12,0,4,12,,,https://wordpress.org/support/view/no-replies/,4TBIXOPP73YOX7PDF7RAJYL6GHEKKPEN,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180101041248id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-01-01,2018-Q1,2018-01-01,20180101082701,resolved,resolved,Resolved topics,215,15,3225,45,33,0,15,4,14,,,https://wordpress.org/support/view/support-forum-yes/,VB6P5T6M2H6SBOAO5J7KYFNV5PTTALCJ,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180101082701id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-01-01,2018-Q1,2018-01-01,20180101041253,unresolved,unresolved,Unresolved topics,710,15,10650,18,26,3,0,1,15,,,https://wordpress.org/support/view/support-forum-no/,3SMIDSUWWXRE7BAJUPI7QIUSBONMZH65,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180101041253id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-04-01,2018-Q2,2018-04-01,20180401044008,all_topics,all,Recent support topics,99,30,2970,33,42,17,2,6,30,,,https://wordpress.org/support/view/all-topics/,JTOA7SIXM5QNZU6IQ5Z6OX2UWOKPHG3Q,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180401044008id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-04-01,2018-Q2,2018-04-01,20180401044010,no_replies,no_replies,Topics with no replies,5,30,150,0,30,30,0,5,30,,,https://wordpress.org/support/view/no-replies/,VTEW43HUXE752SE3XAEW4JBPO5NZKAKP,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180401044010id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-04-01,2018-Q2,2018-04-01,20180401193203,resolved,resolved,Resolved topics,101,30,3030,73,57,2,29,5,30,,,https://wordpress.org/support/view/support-forum-yes/,Y4VMMNIV7PH56FI4KFIT6ZISXM7D6VJ5,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180401193203id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-04-01,2018-Q2,2018-04-01,20180401044013,unresolved,unresolved,Unresolved topics,363,30,10890,31,41,18,0,6,30,,,https://wordpress.org/support/view/support-forum-no/,GJBCDPFGRTNLAOMUE7RJSVQG5Q6QXM2F,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180401044013id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-07-01,2018-Q3,2018-07-17,20180717215205,all_topics,all,Recent support topics,99,30,2970,44,58,5,1,4,28,,,https://wordpress.org/support/view/all-topics/,EEUGWXVYF2ODGIXV6SUB2IQOD6H7EKZY,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180717215205id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-07-01,2018-Q3,2018-07-17,20180717215211,no_replies,no_replies,Topics with no replies,1,9,9,0,9,9,0,3,9,,,https://wordpress.org/support/view/no-replies/,3FENYDBNSCFJ7FVFL6WWG2GCMULP7VOT,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180717215211id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-07-01,2018-Q3,2018-08-24,20180824085122,resolved,resolved,Resolved topics,78,30,2340,118,62,1,30,4,29,,,https://wordpress.org/support/view/support-forum-yes/,YZVC4LG5X5NZA7PGEI7HDJBMDNMNANOP,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180824085122id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
