quarter,label,created,closed,linked_to_trac,unique_authors,first_time_authors
2003-01-01,2003-Q1,0,0,0,0,0
2003-04-01,2003-Q2,0,0,0,0,0
2003-07-01,2003-Q3,0,0,0,0,0
2003-10-01,2003-Q4,0,0,0,0,0
2004-01-01,2004-Q1,0,0,0,0,0
2004-04-01,2004-Q2,0,0,0,0,0
2004-07-01,2004-Q3,0,0,0,0,0
2004-10-01,2004-Q4,0,0,0,0,0
2005-01-01,2005-Q1,0,0,0,0,0
2005-04-01,2005-Q2,0,0,0,0,0
2005-07-01,2005-Q3,0,0,0,0,0
2005-10-01,2005-Q4,0,0,0,0,0
2006-01-01,2006-Q1,0,0,0,0,0
2006-04-01,2006-Q2,0,0,0,0,0
2006-07-01,2006-Q3,0,0,0,0,0
2006-10-01,2006-Q4,0,0,0,0,0
2007-01-01,2007-Q1,0,0,0,0,0
2007-04-01,2007-Q2,0,0,0,0,0
2007-07-01,2007-Q3,0,0,0,0,0
2007-10-01,2007-Q4,0,0,0,0,0
2008-01-01,2008-Q1,0,0,0,0,0
2008-04-01,2008-Q2,0,0,0,0,0
2008-07-01,2008-Q3,0,0,0,0,0
2008-10-01,2008-Q4,0,0,0,0,0
2009-01-01,2009-Q1,0,0,0,0,0
2009-04-01,2009-Q2,0,0,0,0,0
2009-07-01,2009-Q3,0,0,0,0,0
2009-10-01,2009-Q4,0,0,0,0,0
2010-01-01,2010-Q1,0,0,0,0,0
2010-04-01,2010-Q2,0,0,0,0,0
2010-07-01,2010-Q3,0,0,0,0,0
2010-10-01,2010-Q4,0,0,0,0,0
2011-01-01,2011-Q1,0,0,0,0,0
2011-04-01,2011-Q2,0,0,0,0,0
2011-07-01,2011-Q3,0,0,0,0,0
2011-10-01,2011-Q4,0,0,0,0,0
2012-01-01,2012-Q1,0,0,0,0,0
2012-04-01,2012-Q2,0,0,0,0,0
2012-07-01,2012-Q3,0,0,0,0,0
2012-10-01,2012-Q4,0,0,0,0,0
2013-01-01,2013-Q1,0,0,0,0,0
2013-04-01,2013-Q2,0,0,0,0,0
2013-07-01,2013-Q3,0,0,0,0,0
2013-10-01,2013-Q4,0,0,0,0,0
2014-01-01,2014-Q1,0,0,0,0,0
2014-04-01,2014-Q2,0,0,0,0,0
2014-07-01,2014-Q3,0,0,0,0,0
2014-10-01,2014-Q4,0,0,0,0,0
2015-01-01,2015-Q1,0,0,0,0,0
2015-04-01,2015-Q2,0,0,0,0,0
2015-07-01,2015-Q3,0,0,0,0,0
2015-10-01,2015-Q4,0,0,0,0,0
2016-01-01,2016-Q1,0,0,0,0,0
2016-04-01,2016-Q2,0,0,0,0,0
2016-07-01,2016-Q3,0,0,0,0,0
2016-10-01,2016-Q4,0,0,0,0,0
2017-01-01,2017-Q1,1,0,0,1,1
2017-04-01,2017-Q2,0,0,0,0,0
2017-07-01,2017-Q3,2,3,1,2,2
2017-10-01,2017-Q4,6,5,2,3,2
2018-01-01,2018-Q1,2,3,1,2,2
2018-04-01,2018-Q2,4,3,1,3,3
2018-07-01,2018-Q3,2,2,1,2,1
2018-10-01,2018-Q4,17,14,3,4,2
2019-01-01,2019-Q1,20,14,7,10,7
2019-04-01,2019-Q2,15,14,4,9,5
2019-07-01,2019-Q3,34,12,7,11,7
2019-10-01,2019-Q4,24,14,8,14,5
2020-01-01,2020-Q1,81,75,65,35,28
2020-04-01,2020-Q2,165,88,157,66,47
2020-07-01,2020-Q3,187,140,175,94,63
2020-10-01,2020-Q4,286,238,267,89,54
2021-01-01,2021-Q1,305,247,241,90,53
2021-04-01,2021-Q2,304,200,254,98,47
2021-07-01,2021-Q3,268,170,236,73,34
2021-10-01,2021-Q4,375,301,334,93,45
2022-01-01,2022-Q1,384,303,339,122,68
2022-04-01,2022-Q2,435,351,370,124,57
2022-07-01,2022-Q3,457,408,392,131,57
2022-10-01,2022-Q4,424,333,355,133,56
2023-01-01,2023-Q1,463,427,414,144,66
2023-04-01,2023-Q2,497,362,438,162,79
2023-07-01,2023-Q3,588,474,534,176,88
2023-10-01,2023-Q4,465,311,396,129,46
2024-01-01,2024-Q1,511,412,445,134,46
2024-04-01,2024-Q2,605,398,521,153,60
2024-07-01,2024-Q3,521,431,481,152,56
2024-10-01,2024-Q4,600,384,538,135,52
2025-01-01,2025-Q1,557,400,508,113,39
2025-04-01,2025-Q2,515,281,469,118,48
2025-07-01,2025-Q3,960,762,530,145,58
2025-10-01,2025-Q4,575,645,374,121,49
2026-01-01,2026-Q1,740,636,673,153,55
2026-04-01,2026-Q2,741,257,696,162,66
