quarter,label,created,closed,linked_to_trac,unique_authors,first_time_authors
2003-01-01,2003-Q1,0,0,0,0,0
2003-04-01,2003-Q2,0,0,0,0,0
2003-07-01,2003-Q3,0,0,0,0,0
2003-10-01,2003-Q4,0,0,0,0,0
2004-01-01,2004-Q1,0,0,0,0,0
2004-04-01,2004-Q2,0,0,0,0,0
2004-07-01,2004-Q3,0,0,0,0,0
2004-10-01,2004-Q4,0,0,0,0,0
2005-01-01,2005-Q1,0,0,0,0,0
2005-04-01,2005-Q2,0,0,0,0,0
2005-07-01,2005-Q3,0,0,0,0,0
2005-10-01,2005-Q4,0,0,0,0,0
2006-01-01,2006-Q1,0,0,0,0,0
2006-04-01,2006-Q2,0,0,0,0,0
2006-07-01,2006-Q3,0,0,0,0,0
2006-10-01,2006-Q4,0,0,0,0,0
2007-01-01,2007-Q1,0,0,0,0,0
2007-04-01,2007-Q2,0,0,0,0,0
2007-07-01,2007-Q3,0,0,0,0,0
2007-10-01,2007-Q4,0,0,0,0,0
2008-01-01,2008-Q1,0,0,0,0,0
2008-04-01,2008-Q2,0,0,0,0,0
2008-07-01,2008-Q3,0,0,0,0,0
2008-10-01,2008-Q4,0,0,0,0,0
2009-01-01,2009-Q1,0,0,0,0,0
2009-04-01,2009-Q2,0,0,0,0,0
2009-07-01,2009-Q3,0,0,0,0,0
2009-10-01,2009-Q4,0,0,0,0,0
2010-01-01,2010-Q1,0,0,0,0,0
2010-04-01,2010-Q2,0,0,0,0,0
2010-07-01,2010-Q3,0,0,0,0,0
2010-10-01,2010-Q4,0,0,0,0,0
2011-01-01,2011-Q1,0,0,0,0,0
2011-04-01,2011-Q2,0,0,0,0,0
2011-07-01,2011-Q3,0,0,0,0,0
2011-10-01,2011-Q4,0,0,0,0,0
2012-01-01,2012-Q1,0,0,0,0,0
2012-04-01,2012-Q2,0,0,0,0,0
2012-07-01,2012-Q3,0,0,0,0,0
2012-10-01,2012-Q4,0,0,0,0,0
2013-01-01,2013-Q1,0,0,0,0,0
2013-04-01,2013-Q2,0,0,0,0,0
2013-07-01,2013-Q3,0,0,0,0,0
2013-10-01,2013-Q4,0,0,0,0,0
2014-01-01,2014-Q1,0,0,0,0,0
2014-04-01,2014-Q2,0,0,0,0,0
2014-07-01,2014-Q3,0,0,0,0,0
2014-10-01,2014-Q4,0,0,0,0,0
2015-01-01,2015-Q1,0,0,0,0,0
2015-04-01,2015-Q2,0,0,0,0,0
2015-07-01,2015-Q3,0,0,0,0,0
2015-10-01,2015-Q4,0,0,0,0,0
2016-01-01,2016-Q1,0,0,0,0,0
2016-04-01,2016-Q2,0,0,0,0,0
2016-07-01,2016-Q3,0,0,0,0,0
2016-10-01,2016-Q4,0,0,0,0,0
2017-01-01,2017-Q1,0,0,0,0,0
2017-04-01,2017-Q2,0,0,0,0,0
2017-07-01,2017-Q3,1,1,1,1,1
2017-10-01,2017-Q4,1,0,1,1,1
2018-01-01,2018-Q1,1,2,1,1,1
2018-04-01,2018-Q2,1,1,1,1,1
2018-07-01,2018-Q3,0,0,0,0,0
2018-10-01,2018-Q4,1,0,1,1,1
2019-01-01,2019-Q1,2,0,2,2,1
2019-04-01,2019-Q2,2,2,2,2,1
2019-07-01,2019-Q3,4,0,4,1,1
2019-10-01,2019-Q4,3,0,3,2,1
2020-01-01,2020-Q1,39,23,39,17,16
2020-04-01,2020-Q2,72,43,72,39,33
2020-07-01,2020-Q3,86,65,86,54,41
2020-10-01,2020-Q4,119,100,119,53,35
2021-01-01,2021-Q1,126,94,126,56,35
2021-04-01,2021-Q2,132,67,132,65,37
2021-07-01,2021-Q3,111,75,111,47,23
2021-10-01,2021-Q4,155,122,155,50,23
2022-01-01,2022-Q1,163,140,163,77,47
2022-04-01,2022-Q2,137,100,137,67,32
2022-07-01,2022-Q3,181,148,181,92,46
2022-10-01,2022-Q4,175,139,175,89,41
2023-01-01,2023-Q1,175,157,175,92,42
2023-04-01,2023-Q2,204,134,204,101,57
2023-07-01,2023-Q3,264,195,264,116,59
2023-10-01,2023-Q4,209,167,209,90,29
2024-01-01,2024-Q1,229,189,229,94,32
2024-04-01,2024-Q2,284,183,284,110,44
2024-07-01,2024-Q3,243,179,243,96,37
2024-10-01,2024-Q4,253,161,253,79,24
2025-01-01,2025-Q1,276,213,276,77,27
2025-04-01,2025-Q2,273,113,273,89,40
2025-07-01,2025-Q3,268,164,268,91,36
2025-10-01,2025-Q4,185,225,185,75,31
2026-01-01,2026-Q1,386,333,386,115,50
2026-04-01,2026-Q2,356,140,356,122,52
