quarter,label,created,closed,linked_to_trac,unique_authors,first_time_authors
2003-01-01,2003-Q1,0,0,0,0,0
2003-04-01,2003-Q2,0,0,0,0,0
2003-07-01,2003-Q3,0,0,0,0,0
2003-10-01,2003-Q4,0,0,0,0,0
2004-01-01,2004-Q1,0,0,0,0,0
2004-04-01,2004-Q2,0,0,0,0,0
2004-07-01,2004-Q3,0,0,0,0,0
2004-10-01,2004-Q4,0,0,0,0,0
2005-01-01,2005-Q1,0,0,0,0,0
2005-04-01,2005-Q2,0,0,0,0,0
2005-07-01,2005-Q3,0,0,0,0,0
2005-10-01,2005-Q4,0,0,0,0,0
2006-01-01,2006-Q1,0,0,0,0,0
2006-04-01,2006-Q2,0,0,0,0,0
2006-07-01,2006-Q3,0,0,0,0,0
2006-10-01,2006-Q4,0,0,0,0,0
2007-01-01,2007-Q1,0,0,0,0,0
2007-04-01,2007-Q2,0,0,0,0,0
2007-07-01,2007-Q3,0,0,0,0,0
2007-10-01,2007-Q4,0,0,0,0,0
2008-01-01,2008-Q1,0,0,0,0,0
2008-04-01,2008-Q2,0,0,0,0,0
2008-07-01,2008-Q3,0,0,0,0,0
2008-10-01,2008-Q4,0,0,0,0,0
2009-01-01,2009-Q1,0,0,0,0,0
2009-04-01,2009-Q2,0,0,0,0,0
2009-07-01,2009-Q3,0,0,0,0,0
2009-10-01,2009-Q4,0,0,0,0,0
2010-01-01,2010-Q1,0,0,0,0,0
2010-04-01,2010-Q2,0,0,0,0,0
2010-07-01,2010-Q3,0,0,0,0,0
2010-10-01,2010-Q4,0,0,0,0,0
2011-01-01,2011-Q1,0,0,0,0,0
2011-04-01,2011-Q2,0,0,0,0,0
2011-07-01,2011-Q3,0,0,0,0,0
2011-10-01,2011-Q4,0,0,0,0,0
2012-01-01,2012-Q1,0,0,0,0,0
2012-04-01,2012-Q2,0,0,0,0,0
2012-07-01,2012-Q3,0,0,0,0,0
2012-10-01,2012-Q4,0,0,0,0,0
2013-01-01,2013-Q1,0,0,0,0,0
2013-04-01,2013-Q2,0,0,0,0,0
2013-07-01,2013-Q3,0,0,0,0,0
2013-10-01,2013-Q4,0,0,0,0,0
2014-01-01,2014-Q1,0,0,0,0,0
2014-04-01,2014-Q2,0,0,0,0,0
2014-07-01,2014-Q3,0,0,0,0,0
2014-10-01,2014-Q4,0,0,0,0,0
2015-01-01,2015-Q1,0,0,0,0,0
2015-04-01,2015-Q2,0,0,0,0,0
2015-07-01,2015-Q3,0,0,0,0,0
2015-10-01,2015-Q4,0,0,0,0,0
2016-01-01,2016-Q1,0,0,0,0,0
2016-04-01,2016-Q2,0,0,0,0,0
2016-07-01,2016-Q3,0,0,0,0,0
2016-10-01,2016-Q4,0,0,0,0,0
2017-01-01,2017-Q1,0,0,0,0,0
2017-04-01,2017-Q2,0,0,0,0,0
2017-07-01,2017-Q3,0,0,0,0,0
2017-10-01,2017-Q4,0,0,0,0,0
2018-01-01,2018-Q1,0,0,0,0,0
2018-04-01,2018-Q2,0,0,0,0,0
2018-07-01,2018-Q3,0,0,0,0,0
2018-10-01,2018-Q4,0,0,0,0,0
2019-01-01,2019-Q1,0,0,0,0,0
2019-04-01,2019-Q2,0,0,0,0,0
2019-07-01,2019-Q3,1,0,1,1,1
2019-10-01,2019-Q4,0,0,0,0,0
2020-01-01,2020-Q1,4,1,4,4,4
2020-04-01,2020-Q2,3,1,3,3,3
2020-07-01,2020-Q3,8,8,8,7,6
2020-10-01,2020-Q4,9,6,9,8,6
2021-01-01,2021-Q1,2,5,2,2,2
2021-04-01,2021-Q2,5,1,5,3,2
2021-07-01,2021-Q3,2,0,2,2,2
2021-10-01,2021-Q4,8,4,8,6,5
2022-01-01,2022-Q1,5,5,5,5,3
2022-04-01,2022-Q2,5,5,5,4,3
2022-07-01,2022-Q3,9,9,9,8,4
2022-10-01,2022-Q4,2,1,2,2,2
2023-01-01,2023-Q1,6,6,6,4,0
2023-04-01,2023-Q2,3,1,3,3,3
2023-07-01,2023-Q3,5,2,5,4,4
2023-10-01,2023-Q4,2,0,2,2,1
2024-01-01,2024-Q1,6,2,6,6,5
2024-04-01,2024-Q2,7,8,7,3,1
2024-07-01,2024-Q3,13,8,13,9,7
2024-10-01,2024-Q4,25,8,25,18,15
2025-01-01,2025-Q1,10,5,10,9,7
2025-04-01,2025-Q2,5,0,5,5,4
2025-07-01,2025-Q3,12,3,12,9,3
2025-10-01,2025-Q4,13,14,13,9,4
2026-01-01,2026-Q1,8,4,8,8,5
2026-04-01,2026-Q2,24,7,24,19,11
