month,created,closed,net
2003-01-01,0,0,0
2003-02-01,0,0,0
2003-03-01,0,0,0
2003-04-01,0,0,0
2003-05-01,0,0,0
2003-06-01,0,0,0
2003-07-01,0,0,0
2003-08-01,0,0,0
2003-09-01,0,0,0
2003-10-01,0,0,0
2003-11-01,0,0,0
2003-12-01,0,0,0
2004-01-01,0,0,0
2004-02-01,0,0,0
2004-03-01,0,0,0
2004-04-01,0,0,0
2004-05-01,0,0,0
2004-06-01,129,47,82
2004-07-01,64,27,37
2004-08-01,40,23,17
2004-09-01,73,55,18
2004-10-01,90,41,49
2004-11-01,72,24,48
2004-12-01,100,130,-30
2005-01-01,153,160,-7
2005-02-01,216,286,-70
2005-03-01,195,124,71
2005-04-01,100,63,37
2005-05-01,115,38,77
2005-06-01,65,44,21
2005-07-01,60,26,34
2005-08-01,98,55,43
2005-09-01,81,60,21
2005-10-01,84,51,33
2005-11-01,192,250,-58
2005-12-01,189,127,62
2006-01-01,177,148,29
2006-02-01,156,97,59
2006-03-01,98,68,30
2006-04-01,83,55,28
2006-05-01,57,18,39
2006-06-01,129,54,75
2006-07-01,103,113,-10
2006-08-01,99,138,-39
2006-09-01,92,99,-7
2006-10-01,131,200,-69
2006-11-01,101,162,-61
2006-12-01,100,125,-25
2007-01-01,219,151,68
2007-02-01,159,177,-18
2007-03-01,173,225,-52
2007-04-01,148,158,-10
2007-05-01,171,150,21
2007-06-01,189,115,74
2007-07-01,121,79,42
2007-08-01,190,160,30
2007-09-01,240,249,-9
2007-10-01,175,104,71
2007-11-01,109,59,50
2007-12-01,150,167,-17
2008-01-01,187,156,31
2008-02-01,309,320,-11
2008-03-01,464,397,67
2008-04-01,369,165,204
2008-05-01,186,106,80
2008-06-01,142,173,-31
2008-07-01,233,214,19
2008-08-01,216,152,64
2008-09-01,154,119,35
2008-10-01,209,343,-134
2008-11-01,409,334,75
2008-12-01,336,320,16
2009-01-01,236,156,80
2009-02-01,246,178,68
2009-03-01,179,178,1
2009-04-01,260,511,-251
2009-05-01,301,461,-160
2009-06-01,323,274,49
2009-07-01,209,107,102
2009-08-01,182,118,64
2009-09-01,175,102,73
2009-10-01,173,110,63
2009-11-01,235,282,-47
2009-12-01,391,328,63
2010-01-01,424,218,206
2010-02-01,326,356,-30
2010-03-01,357,324,33
2010-04-01,410,367,43
2010-05-01,468,522,-54
2010-06-01,496,304,192
2010-07-01,332,116,216
2010-08-01,254,100,154
2010-09-01,255,104,151
2010-10-01,269,337,-68
2010-11-01,344,336,8
2010-12-01,439,431,8
2011-01-01,375,392,-17
2011-02-01,277,128,149
2011-03-01,302,149,153
2011-04-01,286,185,101
2011-05-01,335,236,99
2011-06-01,322,284,38
2011-07-01,355,187,168
2011-08-01,252,167,85
2011-09-01,273,251,22
2011-10-01,266,198,68
2011-11-01,306,349,-43
2011-12-01,298,177,121
2012-01-01,236,184,52
2012-02-01,207,181,26
2012-03-01,193,165,28
2012-04-01,238,221,17
2012-05-01,230,192,38
2012-06-01,319,243,76
2012-07-01,308,193,115
2012-08-01,328,278,50
2012-09-01,300,336,-36
2012-10-01,276,267,9
2012-11-01,327,370,-43
2012-12-01,432,307,125
2013-01-01,251,169,82
2013-02-01,300,190,110
2013-03-01,266,239,27
2013-04-01,320,228,92
2013-05-01,241,199,42
2013-06-01,189,156,33
2013-07-01,243,285,-42
2013-08-01,292,703,-411
2013-09-01,257,341,-84
2013-10-01,337,264,73
2013-11-01,550,409,141
2013-12-01,408,316,92
2014-01-01,225,385,-160
2014-02-01,263,370,-107
2014-03-01,364,443,-79
2014-04-01,464,294,170
2014-05-01,332,294,38
2014-06-01,270,271,-1
2014-07-01,359,306,53
2014-08-01,351,312,39
2014-09-01,369,242,127
2014-10-01,404,456,-52
2014-11-01,332,364,-32
2014-12-01,311,283,28
2015-01-01,316,340,-24
2015-02-01,301,273,28
2015-03-01,328,279,49
2015-04-01,393,280,113
2015-05-01,325,272,53
2015-06-01,305,292,13
2015-07-01,375,407,-32
2015-08-01,415,284,131
2015-09-01,463,831,-368
2015-10-01,429,726,-297
2015-11-01,288,279,9
2015-12-01,454,400,54
2016-01-01,402,283,119
2016-02-01,318,270,48
2016-03-01,285,222,63
2016-04-01,334,210,124
2016-05-01,253,249,4
2016-06-01,258,264,-6
2016-07-01,286,247,39
2016-08-01,364,267,97
2016-09-01,300,207,93
2016-10-01,397,359,38
2016-11-01,399,293,106
2016-12-01,432,237,195
2017-01-01,319,231,88
2017-02-01,244,207,37
2017-03-01,330,145,185
2017-04-01,288,140,148
2017-05-01,280,228,52
2017-06-01,323,202,121
2017-07-01,281,253,28
2017-08-01,272,172,100
2017-09-01,278,211,67
2017-10-01,341,371,-30
2017-11-01,370,176,194
2017-12-01,240,138,102
2018-01-01,184,146,38
2018-02-01,254,135,119
2018-03-01,222,148,74
2018-04-01,242,85,157
2018-05-01,374,218,156
2018-06-01,196,109,87
2018-07-01,199,109,90
2018-08-01,191,82,109
2018-09-01,134,60,74
2018-10-01,232,133,99
2018-11-01,205,75,130
2018-12-01,348,360,-12
2019-01-01,357,426,-69
2019-02-01,221,146,75
2019-03-01,361,307,54
2019-04-01,342,359,-17
2019-05-01,363,291,72
2019-06-01,179,183,-4
2019-07-01,179,369,-190
2019-08-01,138,211,-73
2019-09-01,231,260,-29
2019-10-01,290,243,47
2019-11-01,363,240,123
2019-12-01,262,198,64
2020-01-01,223,181,42
2020-02-01,216,258,-42
2020-03-01,190,162,28
2020-04-01,294,183,111
2020-05-01,246,184,62
2020-06-01,223,225,-2
2020-07-01,312,340,-28
2020-08-01,370,268,102
2020-09-01,222,248,-26
2020-10-01,264,279,-15
2020-11-01,206,345,-139
2020-12-01,291,238,53
2021-01-01,209,235,-26
2021-02-01,266,236,30
2021-03-01,277,175,102
2021-04-01,167,129,38
2021-05-01,186,181,5
2021-06-01,255,241,14
2021-07-01,281,178,103
2021-08-01,195,113,82
2021-09-01,154,130,24
2021-10-01,143,74,69
2021-11-01,189,239,-50
2021-12-01,169,100,69
2022-01-01,297,164,133
2022-02-01,252,174,78
2022-03-01,230,160,70
2022-04-01,132,167,-35
2022-05-01,235,164,71
2022-06-01,230,119,111
2022-07-01,194,205,-11
2022-08-01,171,124,47
2022-09-01,218,243,-25
2022-10-01,231,251,-20
2022-11-01,299,201,98
2022-12-01,167,99,68
2023-01-01,185,154,31
2023-02-01,234,260,-26
2023-03-01,208,190,18
2023-04-01,188,137,51
2023-05-01,208,155,53
2023-06-01,255,213,42
2023-07-01,256,182,74
2023-08-01,310,244,66
2023-09-01,250,201,49
2023-10-01,270,230,40
2023-11-01,212,123,89
2023-12-01,175,105,70
2024-01-01,234,222,12
2024-02-01,250,265,-15
2024-03-01,207,207,0
2024-04-01,235,199,36
2024-05-01,228,235,-7
2024-06-01,202,235,-33
2024-07-01,254,253,1
2024-08-01,160,161,-1
2024-09-01,170,195,-25
2024-10-01,180,175,5
2024-11-01,291,222,69
2024-12-01,134,117,17
2025-01-01,133,148,-15
2025-02-01,145,185,-40
2025-03-01,167,158,9
2025-04-01,166,150,16
2025-05-01,133,158,-25
2025-06-01,133,263,-130
2025-07-01,133,266,-133
2025-08-01,123,163,-40
2025-09-01,156,169,-13
2025-10-01,118,178,-60
2025-11-01,142,169,-27
2025-12-01,142,140,2
2026-01-01,113,119,-6
2026-02-01,185,161,24
2026-03-01,240,201,39
2026-04-01,150,71,79
2026-05-01,222,136,86
2026-06-01,74,82,-8
