month,created,closed,net
2003-01-01,0,0,0
2003-02-01,0,0,0
2003-03-01,0,0,0
2003-04-01,0,0,0
2003-05-01,0,0,0
2003-06-01,0,0,0
2003-07-01,0,0,0
2003-08-01,0,0,0
2003-09-01,0,0,0
2003-10-01,0,0,0
2003-11-01,0,0,0
2003-12-01,0,0,0
2004-01-01,0,0,0
2004-02-01,0,0,0
2004-03-01,0,0,0
2004-04-01,0,0,0
2004-05-01,0,0,0
2004-06-01,97,38,59
2004-07-01,48,25,23
2004-08-01,28,17,11
2004-09-01,59,47,12
2004-10-01,75,40,35
2004-11-01,58,20,38
2004-12-01,93,109,-16
2005-01-01,126,128,-2
2005-02-01,192,234,-42
2005-03-01,164,115,49
2005-04-01,86,60,26
2005-05-01,94,35,59
2005-06-01,56,32,24
2005-07-01,52,24,28
2005-08-01,90,50,40
2005-09-01,70,51,19
2005-10-01,68,44,24
2005-11-01,178,230,-52
2005-12-01,171,124,47
2006-01-01,151,141,10
2006-02-01,129,86,43
2006-03-01,87,58,29
2006-04-01,70,52,18
2006-05-01,47,16,31
2006-06-01,104,48,56
2006-07-01,81,98,-17
2006-08-01,72,115,-43
2006-09-01,67,82,-15
2006-10-01,95,160,-65
2006-11-01,64,108,-44
2006-12-01,75,96,-21
2007-01-01,186,131,55
2007-02-01,113,131,-18
2007-03-01,125,185,-60
2007-04-01,95,111,-16
2007-05-01,126,116,10
2007-06-01,139,97,42
2007-07-01,82,64,18
2007-08-01,144,123,21
2007-09-01,170,209,-39
2007-10-01,111,75,36
2007-11-01,76,42,34
2007-12-01,94,106,-12
2008-01-01,108,105,3
2008-02-01,235,236,-1
2008-03-01,363,309,54
2008-04-01,282,144,138
2008-05-01,133,92,41
2008-06-01,92,120,-28
2008-07-01,166,163,3
2008-08-01,126,107,19
2008-09-01,104,66,38
2008-10-01,153,242,-89
2008-11-01,294,269,25
2008-12-01,253,253,0
2009-01-01,159,127,32
2009-02-01,165,118,47
2009-03-01,118,138,-20
2009-04-01,164,350,-186
2009-05-01,200,305,-105
2009-06-01,234,190,44
2009-07-01,125,77,48
2009-08-01,95,75,20
2009-09-01,108,65,43
2009-10-01,118,70,48
2009-11-01,154,202,-48
2009-12-01,241,239,2
2010-01-01,307,170,137
2010-02-01,222,208,14
2010-03-01,246,229,17
2010-04-01,289,304,-15
2010-05-01,336,387,-51
2010-06-01,358,249,109
2010-07-01,225,95,130
2010-08-01,160,67,93
2010-09-01,144,64,80
2010-10-01,179,232,-53
2010-11-01,251,225,26
2010-12-01,328,375,-47
2011-01-01,258,295,-37
2011-02-01,185,90,95
2011-03-01,178,101,77
2011-04-01,157,117,40
2011-05-01,254,165,89
2011-06-01,237,224,13
2011-07-01,224,125,99
2011-08-01,141,119,22
2011-09-01,158,170,-12
2011-10-01,197,161,36
2011-11-01,214,286,-72
2011-12-01,201,114,87
2012-01-01,140,112,28
2012-02-01,115,115,0
2012-03-01,110,78,32
2012-04-01,166,174,-8
2012-05-01,158,140,18
2012-06-01,214,180,34
2012-07-01,170,120,50
2012-08-01,177,179,-2
2012-09-01,163,185,-22
2012-10-01,174,168,6
2012-11-01,235,273,-38
2012-12-01,312,247,65
2013-01-01,140,106,34
2013-02-01,187,119,68
2013-03-01,178,160,18
2013-04-01,219,170,49
2013-05-01,166,144,22
2013-06-01,116,118,-2
2013-07-01,150,197,-47
2013-08-01,208,367,-159
2013-09-01,165,169,-4
2013-10-01,248,207,41
2013-11-01,433,320,113
2013-12-01,311,256,55
2014-01-01,131,223,-92
2014-02-01,157,200,-43
2014-03-01,276,334,-58
2014-04-01,364,237,127
2014-05-01,222,189,33
2014-06-01,150,168,-18
2014-07-01,263,228,35
2014-08-01,255,247,8
2014-09-01,258,178,80
2014-10-01,269,287,-18
2014-11-01,242,260,-18
2014-12-01,227,213,14
2015-01-01,204,227,-23
2015-02-01,192,193,-1
2015-03-01,233,186,47
2015-04-01,285,213,72
2015-05-01,224,186,38
2015-06-01,197,187,10
2015-07-01,266,307,-41
2015-08-01,296,193,103
2015-09-01,291,488,-197
2015-10-01,277,383,-106
2015-11-01,196,215,-19
2015-12-01,316,274,42
2016-01-01,271,206,65
2016-02-01,220,176,44
2016-03-01,188,167,21
2016-04-01,214,137,77
2016-05-01,169,164,5
2016-06-01,165,151,14
2016-07-01,195,196,-1
2016-08-01,231,182,49
2016-09-01,182,140,42
2016-10-01,258,239,19
2016-11-01,268,236,32
2016-12-01,286,185,101
2017-01-01,197,151,46
2017-02-01,168,147,21
2017-03-01,229,108,121
2017-04-01,168,91,77
2017-05-01,178,151,27
2017-06-01,217,143,74
2017-07-01,204,177,27
2017-08-01,169,105,64
2017-09-01,167,130,37
2017-10-01,230,246,-16
2017-11-01,281,145,136
2017-12-01,163,102,61
2018-01-01,126,105,21
2018-02-01,154,98,56
2018-03-01,129,97,32
2018-04-01,124,50,74
2018-05-01,233,137,96
2018-06-01,132,78,54
2018-07-01,132,74,58
2018-08-01,138,64,74
2018-09-01,82,41,41
2018-10-01,145,92,53
2018-11-01,159,56,103
2018-12-01,272,260,12
2019-01-01,254,282,-28
2019-02-01,154,111,43
2019-03-01,261,198,63
2019-04-01,261,276,-15
2019-05-01,270,217,53
2019-06-01,124,128,-4
2019-07-01,122,257,-135
2019-08-01,95,145,-50
2019-09-01,149,175,-26
2019-10-01,204,176,28
2019-11-01,266,180,86
2019-12-01,181,140,41
2020-01-01,164,133,31
2020-02-01,150,166,-16
2020-03-01,125,120,5
2020-04-01,198,141,57
2020-05-01,171,129,42
2020-06-01,160,143,17
2020-07-01,201,237,-36
2020-08-01,284,226,58
2020-09-01,164,181,-17
2020-10-01,190,167,23
2020-11-01,122,252,-130
2020-12-01,235,195,40
2021-01-01,149,179,-30
2021-02-01,187,165,22
2021-03-01,197,126,71
2021-04-01,112,83,29
2021-05-01,131,97,34
2021-06-01,180,179,1
2021-07-01,215,133,82
2021-08-01,133,85,48
2021-09-01,97,81,16
2021-10-01,78,42,36
2021-11-01,117,149,-32
2021-12-01,120,81,39
2022-01-01,228,121,107
2022-02-01,187,133,54
2022-03-01,147,107,40
2022-04-01,88,106,-18
2022-05-01,156,106,50
2022-06-01,163,90,73
2022-07-01,132,134,-2
2022-08-01,115,84,31
2022-09-01,159,141,18
2022-10-01,159,185,-26
2022-11-01,215,159,56
2022-12-01,117,69,48
2023-01-01,115,101,14
2023-02-01,145,164,-19
2023-03-01,136,121,15
2023-04-01,145,102,43
2023-05-01,131,116,15
2023-06-01,170,114,56
2023-07-01,175,134,41
2023-08-01,225,159,66
2023-09-01,167,104,63
2023-10-01,182,182,0
2023-11-01,151,82,69
2023-12-01,111,77,34
2024-01-01,156,151,5
2024-02-01,174,169,5
2024-03-01,139,130,9
2024-04-01,168,152,16
2024-05-01,143,149,-6
2024-06-01,143,171,-28
2024-07-01,180,189,-9
2024-08-01,129,130,-1
2024-09-01,109,115,-6
2024-10-01,115,110,5
2024-11-01,211,159,52
2024-12-01,89,85,4
2025-01-01,86,101,-15
2025-02-01,103,114,-11
2025-03-01,112,117,-5
2025-04-01,137,102,35
2025-05-01,103,127,-24
2025-06-01,89,202,-113
2025-07-01,90,173,-83
2025-08-01,75,112,-37
2025-09-01,97,111,-14
2025-10-01,74,97,-23
2025-11-01,91,124,-33
2025-12-01,97,103,-6
2026-01-01,74,88,-14
2026-02-01,132,100,32
2026-03-01,177,166,11
2026-04-01,87,55,32
2026-05-01,133,93,40
2026-06-01,50,61,-11
