quarter,label,created,closed,net,open_at_end,unique_reporters,first_time_reporters,defect_created,enhancement_created,feature_created,task_created
2003-01-01,2003-Q1,0,0,0,0,0,0,0,0,0,0
2003-04-01,2003-Q2,0,0,0,0,0,0,0,0,0,0
2003-07-01,2003-Q3,0,0,0,0,0,0,0,0,0,0
2003-10-01,2003-Q4,0,0,0,0,0,0,0,0,0,0
2004-01-01,2004-Q1,0,0,0,0,0,0,0,0,0,0
2004-04-01,2004-Q2,97,38,59,59,46,46,97,0,0,0
2004-07-01,2004-Q3,135,89,46,103,68,53,135,0,0,0
2004-10-01,2004-Q4,226,169,57,158,80,57,226,0,0,0
2005-01-01,2005-Q1,482,477,5,158,164,117,482,0,0,0
2005-04-01,2005-Q2,236,127,109,266,118,79,236,0,0,0
2005-07-01,2005-Q3,212,125,87,352,125,93,212,0,0,0
2005-10-01,2005-Q4,417,398,19,366,158,114,417,0,0,0
2006-01-01,2006-Q1,367,285,82,436,202,146,367,0,0,0
2006-04-01,2006-Q2,221,116,105,552,133,91,221,0,0,0
2006-07-01,2006-Q3,220,295,-75,476,121,76,220,0,0,0
2006-10-01,2006-Q4,234,364,-130,334,95,57,234,0,0,0
2007-01-01,2007-Q1,424,447,-23,303,227,164,424,0,0,0
2007-04-01,2007-Q2,360,324,36,340,182,109,360,0,0,0
2007-07-01,2007-Q3,396,396,0,338,203,130,396,0,0,0
2007-10-01,2007-Q4,281,223,58,398,172,109,281,0,0,0
2008-01-01,2008-Q1,706,650,56,452,256,155,706,0,0,0
2008-04-01,2008-Q2,507,356,151,607,266,176,507,0,0,0
2008-07-01,2008-Q3,396,336,60,658,232,150,396,0,0,0
2008-10-01,2008-Q4,700,764,-64,581,303,163,700,0,0,0
2009-01-01,2009-Q1,442,383,59,649,261,174,442,0,0,0
2009-04-01,2009-Q2,598,845,-247,371,263,162,598,0,0,0
2009-07-01,2009-Q3,328,217,111,499,217,131,328,0,0,0
2009-10-01,2009-Q4,513,511,2,485,235,144,513,0,0,0
2010-01-01,2010-Q1,775,607,168,654,343,215,775,0,0,0
2010-04-01,2010-Q2,983,940,43,687,460,285,983,0,0,0
2010-07-01,2010-Q3,529,226,303,999,346,198,529,0,0,0
2010-10-01,2010-Q4,758,832,-74,911,326,171,758,0,0,0
2011-01-01,2011-Q1,621,486,135,1048,355,203,621,0,0,0
2011-04-01,2011-Q2,648,506,142,1187,345,181,648,0,0,0
2011-07-01,2011-Q3,523,414,109,1307,332,191,523,0,0,0
2011-10-01,2011-Q4,612,561,51,1370,319,167,612,0,0,0
2012-01-01,2012-Q1,365,305,60,1427,244,121,365,0,0,0
2012-04-01,2012-Q2,538,494,44,1482,292,155,538,0,0,0
2012-07-01,2012-Q3,510,484,26,1506,306,174,510,0,0,0
2012-10-01,2012-Q4,721,688,33,1537,338,155,721,0,0,0
2013-01-01,2013-Q1,505,385,120,1648,300,155,505,0,0,0
2013-04-01,2013-Q2,501,432,69,1720,262,124,501,0,0,0
2013-07-01,2013-Q3,523,733,-210,1498,290,142,523,0,0,0
2013-10-01,2013-Q4,992,783,209,1708,407,220,992,0,0,0
2014-01-01,2014-Q1,564,757,-193,1517,343,200,564,0,0,0
2014-04-01,2014-Q2,736,594,142,1647,448,266,736,0,0,0
2014-07-01,2014-Q3,776,653,123,1786,417,249,776,0,0,0
2014-10-01,2014-Q4,738,760,-22,1771,414,246,738,0,0,0
2015-01-01,2015-Q1,629,606,23,1794,382,213,629,0,0,0
2015-04-01,2015-Q2,706,586,120,1912,414,236,706,0,0,0
2015-07-01,2015-Q3,853,988,-135,1768,494,313,853,0,0,0
2015-10-01,2015-Q4,789,872,-83,1691,442,236,789,0,0,0
2016-01-01,2016-Q1,679,549,130,1825,386,214,679,0,0,0
2016-04-01,2016-Q2,548,452,96,1924,398,233,548,0,0,0
2016-07-01,2016-Q3,608,518,90,2019,368,207,608,0,0,0
2016-10-01,2016-Q4,812,660,152,2175,416,220,812,0,0,0
2017-01-01,2017-Q1,594,406,188,2362,443,282,594,0,0,0
2017-04-01,2017-Q2,563,385,178,2545,405,253,563,0,0,0
2017-07-01,2017-Q3,540,412,128,2675,356,212,540,0,0,0
2017-10-01,2017-Q4,674,493,181,2849,458,297,674,0,0,0
2018-01-01,2018-Q1,409,300,109,2937,325,210,409,0,0,0
2018-04-01,2018-Q2,489,265,224,3160,324,191,489,0,0,0
2018-07-01,2018-Q3,352,179,173,3318,291,179,352,0,0,0
2018-10-01,2018-Q4,576,408,168,3534,389,244,576,0,0,0
2019-01-01,2019-Q1,669,591,78,3618,442,291,669,0,0,0
2019-04-01,2019-Q2,655,621,34,3642,394,228,655,0,0,0
2019-07-01,2019-Q3,366,577,-211,3443,282,181,366,0,0,0
2019-10-01,2019-Q4,651,496,155,3597,429,270,651,0,0,0
2020-01-01,2020-Q1,439,419,20,3622,317,194,439,0,0,0
2020-04-01,2020-Q2,529,413,116,3740,408,267,529,0,0,0
2020-07-01,2020-Q3,649,644,5,3749,464,308,649,0,0,0
2020-10-01,2020-Q4,547,614,-67,3684,415,265,547,0,0,0
2021-01-01,2021-Q1,533,470,63,3749,403,256,533,0,0,0
2021-04-01,2021-Q2,423,359,64,3810,296,177,423,0,0,0
2021-07-01,2021-Q3,445,299,146,3959,344,207,445,0,0,0
2021-10-01,2021-Q4,315,272,43,4005,226,126,315,0,0,0
2022-01-01,2022-Q1,562,361,201,4209,437,268,562,0,0,0
2022-04-01,2022-Q2,407,302,105,4317,302,176,407,0,0,0
2022-07-01,2022-Q3,406,359,47,4362,287,174,406,0,0,0
2022-10-01,2022-Q4,491,413,78,4439,357,210,491,0,0,0
2023-01-01,2023-Q1,396,386,10,4453,301,169,396,0,0,0
2023-04-01,2023-Q2,446,332,114,4565,300,177,446,0,0,0
2023-07-01,2023-Q3,567,397,170,4737,387,238,567,0,0,0
2023-10-01,2023-Q4,444,341,103,4842,309,179,444,0,0,0
2024-01-01,2024-Q1,469,450,19,4867,308,159,469,0,0,0
2024-04-01,2024-Q2,454,472,-18,4845,292,181,454,0,0,0
2024-07-01,2024-Q3,418,434,-16,4824,297,174,418,0,0,0
2024-10-01,2024-Q4,415,354,61,4891,303,180,415,0,0,0
2025-01-01,2025-Q1,301,332,-31,4859,198,107,301,0,0,0
2025-04-01,2025-Q2,329,431,-102,4753,196,96,329,0,0,0
2025-07-01,2025-Q3,262,396,-134,4628,163,87,262,0,0,0
2025-10-01,2025-Q4,262,324,-62,4569,186,91,262,0,0,0
2026-01-01,2026-Q1,383,354,29,4598,198,90,383,0,0,0
2026-04-01,2026-Q2,270,209,61,4664,188,89,270,0,0,0
