quarter,label,created,closed,net,open_at_end,unique_reporters,first_time_reporters,defect_created,enhancement_created,feature_created,task_created
2003-01-01,2003-Q1,0,0,0,0,0,0,0,0,0,0
2003-04-01,2003-Q2,0,0,0,0,0,0,0,0,0,0
2003-07-01,2003-Q3,0,0,0,0,0,0,0,0,0,0
2003-10-01,2003-Q4,0,0,0,0,0,0,0,0,0,0
2004-01-01,2004-Q1,0,0,0,0,0,0,0,0,0,0
2004-04-01,2004-Q2,0,0,0,0,0,0,0,0,0,0
2004-07-01,2004-Q3,0,0,0,0,0,0,0,0,0,0
2004-10-01,2004-Q4,0,0,0,0,0,0,0,0,0,0
2005-01-01,2005-Q1,0,0,0,0,0,0,0,0,0,0
2005-04-01,2005-Q2,0,0,0,0,0,0,0,0,0,0
2005-07-01,2005-Q3,0,0,0,0,0,0,0,0,0,0
2005-10-01,2005-Q4,0,0,0,0,0,0,0,0,0,0
2006-01-01,2006-Q1,0,0,0,0,0,0,0,0,0,0
2006-04-01,2006-Q2,0,0,0,0,0,0,0,0,0,0
2006-07-01,2006-Q3,0,0,0,0,0,0,0,0,0,0
2006-10-01,2006-Q4,3,0,3,2,2,2,0,0,3,0
2007-01-01,2007-Q1,3,0,3,4,3,3,0,0,3,0
2007-04-01,2007-Q2,5,0,5,9,5,3,0,0,5,0
2007-07-01,2007-Q3,2,0,2,11,2,1,0,0,2,0
2007-10-01,2007-Q4,3,0,3,14,3,2,0,0,3,0
2008-01-01,2008-Q1,3,0,3,17,3,2,0,0,3,0
2008-04-01,2008-Q2,7,0,7,23,7,7,0,0,7,0
2008-07-01,2008-Q3,4,0,4,26,4,4,0,0,4,0
2008-10-01,2008-Q4,19,2,17,42,15,10,0,0,19,0
2009-01-01,2009-Q1,33,14,19,61,27,23,0,0,33,0
2009-04-01,2009-Q2,42,52,-10,50,31,23,0,0,42,0
2009-07-01,2009-Q3,42,19,23,70,34,31,0,0,42,0
2009-10-01,2009-Q4,34,25,9,80,27,16,0,0,34,0
2010-01-01,2010-Q1,56,33,23,101,45,32,0,0,56,0
2010-04-01,2010-Q2,60,25,35,136,53,38,0,0,60,0
2010-07-01,2010-Q3,57,21,36,174,48,36,0,0,57,0
2010-10-01,2010-Q4,38,38,0,171,34,22,0,0,38,0
2011-01-01,2011-Q1,44,35,9,179,37,25,0,0,44,0
2011-04-01,2011-Q2,39,22,17,197,31,18,0,0,39,0
2011-07-01,2011-Q3,45,33,12,208,30,22,0,0,45,0
2011-10-01,2011-Q4,32,29,3,211,27,18,0,0,32,0
2012-01-01,2012-Q1,38,34,4,215,34,23,0,0,38,0
2012-04-01,2012-Q2,35,24,11,227,30,23,0,0,35,0
2012-07-01,2012-Q3,32,23,9,235,29,20,0,0,32,0
2012-10-01,2012-Q4,25,23,2,236,24,17,0,0,25,0
2013-01-01,2013-Q1,31,26,5,243,27,20,0,0,31,0
2013-04-01,2013-Q2,27,13,14,256,21,16,0,0,27,0
2013-07-01,2013-Q3,29,74,-45,209,25,14,0,0,29,0
2013-10-01,2013-Q4,25,19,6,214,23,15,0,0,25,0
2014-01-01,2014-Q1,17,49,-32,184,16,14,0,0,17,0
2014-04-01,2014-Q2,42,28,14,196,37,31,0,0,42,0
2014-07-01,2014-Q3,36,22,14,211,34,29,0,0,36,0
2014-10-01,2014-Q4,28,37,-9,200,25,18,0,0,28,0
2015-01-01,2015-Q1,37,38,-1,201,33,29,0,0,37,0
2015-04-01,2015-Q2,52,39,13,213,47,37,0,0,52,0
2015-07-01,2015-Q3,45,63,-18,197,45,34,0,0,45,0
2015-10-01,2015-Q4,53,73,-20,177,51,43,0,0,53,0
2016-01-01,2016-Q1,35,32,3,181,34,26,0,0,35,0
2016-04-01,2016-Q2,33,29,4,187,32,24,0,0,33,0
2016-07-01,2016-Q3,50,27,23,212,42,32,0,0,50,0
2016-10-01,2016-Q4,45,20,25,237,36,25,0,0,45,0
2017-01-01,2017-Q1,30,27,3,241,30,24,0,0,30,0
2017-04-01,2017-Q2,35,22,13,255,33,16,0,0,35,0
2017-07-01,2017-Q3,43,33,10,266,39,25,0,0,43,0
2017-10-01,2017-Q4,44,23,21,287,36,28,0,0,44,0
2018-01-01,2018-Q1,41,21,20,305,38,26,0,0,41,0
2018-04-01,2018-Q2,33,18,15,320,30,23,0,0,33,0
2018-07-01,2018-Q3,23,7,16,335,22,17,0,0,23,0
2018-10-01,2018-Q4,26,22,4,342,24,21,0,0,26,0
2019-01-01,2019-Q1,31,34,-3,338,29,19,0,0,31,0
2019-04-01,2019-Q2,30,37,-7,331,30,26,0,0,30,0
2019-07-01,2019-Q3,25,32,-7,322,22,19,0,0,25,0
2019-10-01,2019-Q4,38,22,16,340,36,26,0,0,38,0
2020-01-01,2020-Q1,35,17,18,358,35,27,0,0,35,0
2020-04-01,2020-Q2,32,23,9,366,29,23,0,0,32,0
2020-07-01,2020-Q3,40,22,18,384,37,25,0,0,40,0
2020-10-01,2020-Q4,40,42,-2,383,37,25,0,0,40,0
2021-01-01,2021-Q1,27,19,8,392,26,23,0,0,27,0
2021-04-01,2021-Q2,36,25,11,402,30,24,0,0,36,0
2021-07-01,2021-Q3,31,16,15,418,29,24,0,0,31,0
2021-10-01,2021-Q4,22,14,8,427,20,15,0,0,22,0
2022-01-01,2022-Q1,24,9,15,441,23,20,0,0,24,0
2022-04-01,2022-Q2,18,19,-1,440,13,10,0,0,18,0
2022-07-01,2022-Q3,21,23,-2,438,20,16,0,0,21,0
2022-10-01,2022-Q4,31,20,11,449,27,22,0,0,31,0
2023-01-01,2023-Q1,21,20,1,451,20,18,0,0,21,0
2023-04-01,2023-Q2,22,11,11,463,20,14,0,0,22,0
2023-07-01,2023-Q3,26,14,12,476,26,24,0,0,26,0
2023-10-01,2023-Q4,24,16,8,484,23,16,0,0,24,0
2024-01-01,2024-Q1,31,27,4,487,29,23,0,0,31,0
2024-04-01,2024-Q2,33,24,9,497,28,24,0,0,33,0
2024-07-01,2024-Q3,21,13,8,504,20,17,0,0,21,0
2024-10-01,2024-Q4,37,18,19,524,31,26,0,0,37,0
2025-01-01,2025-Q1,23,20,3,527,22,19,0,0,23,0
2025-04-01,2025-Q2,18,21,-3,524,17,12,0,0,18,0
2025-07-01,2025-Q3,16,26,-10,516,14,12,0,0,16,0
2025-10-01,2025-Q4,9,16,-7,509,8,6,0,0,9,0
2026-01-01,2026-Q1,12,9,3,512,12,4,0,0,12,0
2026-04-01,2026-Q2,22,10,12,524,22,16,0,0,22,0
